Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
VOO;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-17.7629;0.0153;-0.7395
QQQ;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-35.2202;0.0203;-1.1027
DIA;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-5.9812;0.0125;-0.3045
AAPL;4;3;0.9;0.0042;0.0;0.0;;1.0;0.0;0.0;5.4769;2;-26.8375;0.0225;-0.7584
GOOG;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-41.6605;0.0245;-1.081
MSFT;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-26.2126;0.0223;-0.7468
AMZN;4;3;0.9;0.0042;0.0;0.0164;2.0;1.0;0.0;0.0;5.4785;2;-58.2284;0.0316;-1.1711
META;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-81.5559;0.0406;-1.2769
XOM;4;3;0.9;0.0043;0.0;0.032;2.0;1.0;0.0;0.0;5.4725;2;65.175;0.022;1.8785
CVX;4;3;0.9;0.0042;0.0;0.0164;2.0;1.0;0.0;0.0;5.4785;2;49.8271;0.0208;1.5241
BP;4;3;0.9;0.015;0.3605;0.6591;2.4473;0.2;0.4514;0.8559;4.9328;2;35.047;0.0224;0.9917
GAZP.ME;4;3;0.9;0.0145;;0.0;;inf;0.0;0.0;4.2047;2;-12.4395;0.0606;-0.4235
LUKOY;4;3;0.9;0.6114;0.9994;0.9988;91.4578;0.0066;3.878;0.816;2.0215;2;-148.0278;0.0921;-1.021
TSLA;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-96.1875;0.0412;-1.4841
F;4;3;0.9;0.0377;0.7551;0.8814;4.1359;0.0222;1.5998;1.9319;4.7015;2;-47.4797;0.0309;-0.9761
GM;4;3;0.9;0.006;0.0741;0.1771;2.0;0.5;0.0;0.0;5.2908;2;-49.7023;0.0277;-1.1394
TM;4;3;0.9;0.0042;0.0;0.0164;2.0;1.0;0.0;0.0;5.4785;2;-27.2904;0.0173;-1.0008
HMC;4;3;0.9;0.0371;0.5747;0.7783;3.4611;0.04;0.9726;1.6244;4.3658;2;-15.5847;0.0176;-0.5629
GLD;4;3;0.9;0.0044;0.0;0.062;2.0;1.0;0.0;0.0;5.4539;2;1.9204;0.0096;0.1271
SLV;4;3;0.9;0.0354;0.6921;0.8568;3.5683;0.0286;1.245;1.6936;4.5391;2;8.3313;0.019;0.2788
PALL;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;10.6484;0.0324;0.2089
PLAT;4;3;0.9;0.0078;0.3396;0.4031;2.1529;0.25;0.2237;0.4278;5.2207;2;-49.7611;0.025;-1.2643
FCX;4;3;0.9;0.0048;0.0;0.1479;2.0;1.0;0.0;0.0;5.421;2;7.3001;0.034;0.1364
SPY;4;3;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-17.7133;0.0153;-0.7353
