Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio;Score;Category
CVX;3;2;1,0;0,0044;0,0;0,0738;2,0;1,0;0,0;0,0;5,4710001945495605;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;4;1;0,8;0,004;nan;0,0;nan;inf;0,0;0,0;5,505300045013428;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;4;2;0,9;0,0042;0,0;0,0478;2,0;1,0;0,0;0,0;5,486599922180176;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;3;3;0,9;0,0043;0,0;0,0618;2,0;1,0;0,0;0,0;5,4745001792907715;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;4;3;0,8;0,0042;0,0;0,0164;2,0;1,0;0,0;0,0;5,478499889373779;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;4;3;1,0;0,0042;0,0;0,0323;2,0;1,0;0,0;0,0;5,4730000495910645;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;2;2;0,8;0,0064;0,0;0,136;2,0;1,0;0,0;0,0;5,274700164794922;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;2;3;1,0;0,0073;0,0808;0,157;2,0588;0,5;0,0;0,22370000183582306;5,208799839019775;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;2;2;0,9;0,007;0,0;0,1524;2,0;1,0;0,0;0,0;5,229800224304199;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;2;3;0,9;0,0066;0,0759;0,1404;2,0357;0,5;0,0;0,15410000085830688;5,270299911499023;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;2;1;1,0;0,0098;0,3077;0,158;2,2045;0,25;0,4311000108718872;0,506600022315979;4,960299968719482;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;2;2;1,0;0,0076;0,036;0,1656;2,0;0,5;0,0;0,0;5,197400093078613;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;3;1;0,8;0,0044;0,0;0,0295;2,0;1,0;0,0;0,0;5,473100185394287;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;2;1;0,9;0,0084;0,2464;0,1046;2,2;0,5;0,0;0,5004000067710876;5,027599811553955;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;3;1;0,9;0,0045;0,0;0,0289;2,0;1,0;0,0;0,0;5,454400062561035;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;2;3;0,8;0,006;0,0333;0,1386;2,04;0,5;0,0;0,1678999960422516;5,3354997634887695;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;2;1;0,8;0,0076;0,2143;0,0781;2,1765;0,5;0,0;0,4659999907016754;5,09089994430542;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
MSFT;2;3;0,8;0,0045;0,0;0,0584;2,0;1,0;0,0;0,0;5,46560001373291;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;4;1;0,8;0,0041;0,0;0,016;2,0;1,0;0,0;0,0;5,503200054168701;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;2;2;1,0;0,006;0,1129;0,0912;2,6154;0,3333;0,6365000009536743;0,6172000169754028;5,314499855041504;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;4;1;1,0;0,0041;0,0;0,016;2,0;1,0;0,0;0,0;5,503200054168701;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;2;3;0,9;0,0047;0,0;0,0828;2,0;1,0;0,0;0,0;5,433199882507324;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;4;2;0,8;0,0041;nan;0,0;nan;inf;0,0;0,0;5,493100166320801;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;3;1;1,0;0,0044;0,2727;0,0627;2,8333;0,3333;0,0;1,0113999843597412;5,481100082397461;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;2;2;0,9;0,0055;0,1087;0,0792;2,4545;0,3333;0,6930999755859375;0,7595000267028809;5,364699840545654;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;4;2;0,9;0,0041;nan;0,0;nan;inf;0,0;0,0;5,493100166320801;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;2;2;0,8;0,0052;0,0526;0,0677;2,2;0,5;0,0;0,32510000467300415;5,398499965667725;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;4;2;1,0;0,0041;nan;0,0;nan;inf;0,0;0,0;5,493100166320801;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;2;1;1,0;0,0062;0,3235;0,1244;3,2;0,25;0,8486999869346619;1,0437999963760376;5,302800178527832;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;4;3;0,8;0,0041;nan;0,0;nan;inf;0,0;0,0;5,480599880218506;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;4;3;0,9;0,0041;nan;0,0;nan;inf;0,0;0,0;5,480599880218506;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;2;1;0,9;0,0058;0,2632;0,1126;2,5625;0,3333;0,4101000130176544;0,9506999850273132;5,343999862670898;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;4;3;1,0;0,0041;nan;0,0;nan;inf;0,0;0,0;5,480599880218506;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;2;1;0,8;0,0054;0,2955;0,0976;2,5385;0,3333;0,4505999982357025;0,9372000098228455;5,372399806976318;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;3;3;1,0;0,0041;0,0;0,0161;2,0;1,0;0,0;0,0;5,487199783325195;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;4;1;0,9;0,0041;0,0;0,016;2,0;1,0;0,0;0,0;5,503200054168701;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;3;2;0,9;0,004;nan;0,0;nan;inf;0,0;0,0;5,501299858093262;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;3;1;0,8;0,0042;0,3333;0,046;2,4;0,5;0,0;0,5004000067710876;5,497900009155273;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;3;2;0,8;0,004;nan;0,0;nan;inf;0,0;0,0;5,501299858093262;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;3;3;0,9;0,0041;nan;0,0;nan;inf;0,0;0,0;5,493100166320801;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;3;2;1,0;0,0042;0,0;0,0156;2,0;1,0;0,0;0,0;5,481400012969971;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;3;1;0,9;0,0042;0,2857;0,0532;2,3333;0,5;0,0;0,4505999982357025;5,495500087738037;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;3;3;0,8;0,0041;nan;0,0;nan;inf;0,0;0,0;5,493100166320801;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
MSFT;2;3;1,0;0,005;0,069;0,1144;2,1875;0,5;0,0;0,48260000348091125;5,409999847412109;2;0,14459519541725363;0,8035714285714286;0,11292448048656867;-0,5460517526676063;Mean
AAPL;2;3;1,0;0,0081;0,0645;0,1996;2,0204;0,5;0,0;0,09960000216960907;5,1082000732421875;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;4;2;0,9;0,0041;0,0;0,0;nan;1,0;0,0;0,0;5,489299774169922;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;3;2;1,0;0,0044;0,0;0,0369;2,0;1,0;0,0;0,0;5,460299968719482;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;3;1;0,9;0,0046;0,5882;0,0389;2,2;0,5;0,0;0,5004000067710876;5,448999881744385;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;4;2;1,0;0,0041;0,0;0,0;nan;1,0;0,0;0,0;5,489299774169922;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
AAPL;2;2;0,8;0,007;0,0989;0,1183;2,125;0,3333;0,5623000264167786;0,376800000667572;5,222799777984619;2;0,13874601607143694;0,8214285714285714;0,1090048994762629;-0,5736776558808716;Worst
